"Source","Reference","Year","Note_confidence","Comment"
"Plant_31","van Kauwenbergh 2006; U.S. Geological Survey 2024",2006,"Low: (1) data is weekly relevant (2002-2012); (2) value is estimated from more than one data source","Ratio of beneficiation plant capacity 1.5Mt (USGS Mineral Yearbook 2006) to mine capacity 6Mt (van Kauwenbergh 2006)"
"Plant_32","van Kauwenbergh 2006; U.S. Geological Survey 2024",2006,"Low: set to lowest among ore, PR, and recovery","Calculated from mass recovery; same data source assigned"
"Plant_33","International Business Publications 2015",2011,"Medium: ore grade is taken from the company's data on mineral reserves","Measered reserves"
"Plant_34","Aldagheiri 2016",2016,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","2019-2022 avarege for ratio of P2O5 content to gross weight for Saudi Arabia is 31.99 (USGS 2024)"
"Plant_35","Saudi Arabian Mining Company (Ma’aden) 2014",2014,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","Section 4.7.1.6 Production Facilities: Al-Jalamid "
"Plant_36","Saudi Arabian Mining Company (Ma’aden) 2014",2014,"Medium: set to lowest among ore, PR, and recovery","Calculated from mass recovery; same data source assigned"
"Plant_37","Saudi Arabian Mining Company (Ma’aden) 2013",2013,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","Section 4.11.3 Benefeciation Plant"
"Plant_38","Aldagheiri 2016",2016,"Medium: value is taken from simular beneficiation process","Assumed the same as for Al Jalamid; 2019-2022 avarege for ratio of P2O5 content to gross weight for Saudi Arabia is 31.99 (USGS 2024)"
"Plant_39","Saudi Arabian Mining Company (Ma’aden) 2013",2013,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","Section 4.11.3 Benefeciation Plant"
"Plant_40","Saudi Arabian Mining Company (Ma’aden) 2013",2013,"Medium: set to lowest among ore, PR, and recovery","Calculated from mass recovery; same data source assigned"
"Plant_41","Abed & Abdalla 1998",1998,"Low: data is not relevant being recorded before 2003","Table 1"
"Plant_42","U.S. Geological Survey 2024",2022,"Low: (1) PR grade is estimated based on the country-level data, (2) value is estimated from raw data with additional assumptions","2010-2022 average for ratio of P2O5 content to gross weight; approx. 70% comes from this mine"
"Plant_43","van Kauwenbergh 2010",1998,"Low: data is not relevant being recorded before 2003","Ore-to-product ratio 2.8 is taken"
"Plant_44","van Kauwenbergh 2010",1998,"Low: set to lowest among ore, PR, and recovery","Calculated from mass recovery; same data source assigned"
"Plant_45","Abed 2012",2012,"Low: (1) data is weekly relevant (2003-2012), (2) value is taken from simular beneficiation process","Table 8"
"Plant_46","U.S. Geological Survey 2024",2022,"Low: (1) PR grade is estimated based on the country-level data, (2) value is estimated from raw data with additional assumptions","2010-2022 average for ratio of P2O5 content to gross weight; approx. 70% comes from another mine"
"Plant_47","van Kauwenbergh 2010",1988,"Low: data is not relevant being recorded before 2003","Equivalent to ore-to-product ratio 1.6"
"Plant_48","van Kauwenbergh 2010",1988,"Low: set to lowest among ore, PR, and recovery","Calculated from mass recovery; same data source assigned"
"Plant_49","Abed 2012",2012,"Low: (1) data is weekly relevant (2003-2012), (2) value is taken from simular beneficiation process","Table 8"
"Plant_50","U.S. Geological Survey 2024",2022,"Low: (1) PR grade is estimated based on the country-level data, (2) value is estimated from raw data with additional assumptions","2010-2022 average for ratio of P2O5 content to gross weight; approx. 70% comes from another mine"
"Plant_51","van Kauwenbergh 2010",1998,"Low: data is not relevant being recorded before 2003","Assumed as in Central Jordan"
"Plant_52","van Kauwenbergh 2010",1998,"Low: set to lowest among ore, PR, and recovery","Calculated from mass recovery; same data source assigned"
"Plant_53","Elmaadawy et al. 2015",2015,"Medium: value is estimated from time series with high variability in the data","Table 3"
"Plant_54","Elmaadawy et al. 2015",2015,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","The concentrate assays about 28 – 29% P2O5, at a recovery of about 80%"
"Plant_55","Elmaadawy et al. 2015",2015,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","The concentrate assays about 28 – 29% P2O5, at a recovery of about 80%"
"Plant_56","Elmaadawy et al. 2015",2015,"Medium: set to lowest among ore, PR, and recovery","Calculated from mass recovery; same data source assigned"
"Plant_57","Elmaadawy et al. 2015",2015,"Low: (1) value is taken from simular beneficiation process, (2) value is estimated from time series with high variability in the data","Average for middle group B?Idfu?Qena Region, containing 15-27.5% P2O5"
"Plant_58","U.S. Geological Survey 2024",2017,"Low: (1) PR grade is estimated based on the country-level data, (2) value is estimated from raw data with additional assumptions","2010-2017 average for ratio of P2O5 content to gross weight  assigned to many producers"
"Plant_59","van Kauwenbergh 2010",2010,"Medium: data is weekly relevant (2003-2012)","Equivalent to ore-to-product ratio 1.6"
"Plant_60","van Kauwenbergh 2010",2010,"Low: set to lowest among ore, PR, and recovery","Calculated from mass recovery; same data source assigned"
"Plant_61","Elmaadawy et al. 2015",2015,"Low: (1) value is taken from simular beneficiation process, (2) value is estimated from time series with high variability in the data","Average Safaga ore, containing 14-33% P2O5"
"Plant_62","U.S. Geological Survey 2024",2017,"Low: (1) PR grade is estimated based on the country-level data, (2) value is estimated from raw data with additional assumptions","2010-2017 average for ratio of P2O5 content to gross weight  assigned to many producers"
"Plant_63","van Kauwenbergh 2010",2010,"Medium: data is weekly relevant (2003-2012)","Equivalent to ore-to-product ratio 1.6"
"Plant_64","van Kauwenbergh 2010",2010,"Low: set to lowest among ore, PR, and recovery","Calculated from mass recovery; same data source assigned"
"Plant_65","Svoboda 1989",1989,"Low: data is not relevant being recorded before 2003","Average from Table Tunisia 1 (van Kauwenbergh 2006; reproduced)"
"Plant_66","Compagnie des Phosphates de Gafsa 2011; Compagnie des Phosphates de Gafsa 2016",2015,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","2006-2015 average ratio of Production to Mining  in section Production overview"
"Plant_67","Compagnie des Phosphates de Gafsa 2011; Compagnie des Phosphates de Gafsa 2016",2015,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","2006-2015 average section Production overview: quality"
"Plant_68","Compagnie des Phosphates de Gafsa 2011; Compagnie des Phosphates de Gafsa 2016",2015,"Low: set to lowest among ore, PR, and recovery","Calculated from mass recovery; same data source assigned"
"Plant_69","Prian 2014",2009,"Low: (1) scientific publication, (2) value is estimated from raw data with additional assumptions","Table 1: Tobiene. In the Tobène deposit, the run-of-mine ore is less rich in P2O5 (Table 1), but its characteristics are satisfactory for obtaining a good-quality commercial concentrate"
"Plant_70","U.S. Geological Survey 2024",2022,"Medium: PR grade is estimated based on the country-level data","2010-2022 average for ratio of P2O5 content to gross weight"
"Plant_71","van Kauwenbergh 2010",1988,"Low: data is not relevant being recorded before 2003","Equivalent to ore-to-product ratio 4.3"
"Plant_72","van Kauwenbergh 2010",1988,"Low: set to lowest among ore, PR, and recovery","Calculated from mass recovery; same data source assigned"
"Plant_73","Flicoteaux & Hameh 1989",1989,"Low: data is not relevant being recorded before 2003",""
"Plant_74","U.S. Geological Survey 2024",2022,"Medium: PR grade is estimated based on the country-level data","2010-2022 average for ratio of P2O5 content to gross weight"
"Plant_75","Flicoteaux & Hameh 1989",1989,"Low: data is not relevant being recorded before 2003","Table 42.1: 1979-1983 average ration of calcined ore to crude ore"
"Plant_76","Flicoteaux & Hameh 1989",1989,"Low: set to lowest among ore, PR, and recovery","Calculated from mass recovery; same data source assigned"
"Plant_77","van Kauwenbergh 2006",2006,"Low: (1) data is weekly relevant (2002-2012), (2) value is estimated from raw data with additional assumptions","The raw phosphate is packed as granules, without chemical processing, for direct agricultural use (Prian 2014)"
"Plant_78","van Kauwenbergh 2006",2006,"Medium: data is weekly relevant (2003-2012)",""
"Plant_79","Prian 2014",2014,"Low: (1) data is weekly relevant (2002-2012), (2) value is estimated from raw data with additional assumptions","The raw phosphate is packed as granules, without chemical processing, for direct agricultural use (Prian 2014)"
"Plant_80","Prian 2014",2014,"Low: set to lowest among ore, PR, and recovery","Calculated from mass recovery; same data source assigned"
"Plant_81","Avenira Limited 2019",2019,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance",""
"Plant_82","Avenira Limited 2019",2019,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance",""
"Plant_83","Avenira Limited 2019",2019,"High: set to lowest among ore, PR, and mineral recovery","Calculated from mineral recovery; same data source assigned"
"Plant_84","Avenira Limited 2019",2019,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance",""
"Plant_85","Incitec Pivot Limited 2017",2017,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance",""
"Plant_86","U.S. Geological Survey 2024",2022,"Medium: PR grade is estimated based on the country-level data","2020-2022 average for ratio of P2O5 content to gross weight"
"Plant_87","Cook 1989",1989,"Low: set to lowest among ore, PR, and mineral recovery","Calculated from mineral recovery; same data source assigned"
"Plant_88","Cook 1989",1989,"Low: data is not relevant being recorded before 2003","Assumed no beneficiation"
"Plant_89","Israel Chemicals Ltd. 2023",2022,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","Production Table 1: %P2O5 before beneficiation"
"Plant_90","Israel Chemicals Ltd. 2023",2022,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","Production Table 1: %P2O5 after beneficiation"
"Plant_91","Israel Chemicals Ltd. 2018; Israel Chemicals Ltd. 2020; Israel Chemicals Ltd. 2023",2022,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","2015-2022 average of mined to PR product; Production Table 1-2"
"Plant_92","Israel Chemicals Ltd. 2018; Israel Chemicals Ltd. 2020; Israel Chemicals Ltd. 2023",2022,"High: set to lowest among ore, PR, and recovery","Calculated from mass recovery; same data source assigned"
"Plant_93","Indian Bureau of Mines 2024",2021,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance",""
"Plant_94","U.S. Geological Survey 2024",2022,"Medium: PR grade is estimated based on the country-level data","2010-2022 average for ratio of P2O5 content to gross weight"
"Plant_95","Indian Bureau of Mines 2024",2021,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","2015-2021 average of Production of Phosphorite/Rock Phosphate to Mine-head Closing Stocks of Phosphorite/Rock Phosphate"
"Plant_96","Indian Bureau of Mines 2024",2021,"Medium: set to lowest among ore, PR, and recovery","Calculated from mass recovery; same data source assigned"
"Plant_97","Neumann & Medeiros 2015",2015,"Low: (1) scientific publication, (2) value is estimated from raw data with additional assumptions","Table 1: Head sample"
"Plant_98","The Mosaic Company 2023",2022,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","2020-2022 average"
"Plant_99","Vale S.A. 2017",2016,"Medium: ore grade is taken from the company's data on mineral reserves","Section Phosphate reserves for Patrocinio"
"Plant_100","Vale S.A. 2017",2016,"Low: set to lowest among ore, PR, and recovery","Calculated from mass recovery; same data source assigned"
"Plant_101","The Mosaic Company 2023",2022,"Medium: ore grade is taken from the company's data on mineral reserves","Table 2.7: Proven Mineral Reserves; 5.5 in Born (1989) Table 18.4  for Jacupiranga ore"
"Plant_102","The Mosaic Company 2023",2022,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","2020-2022 average"
"Plant_103","Vale S.A. 2017",2016,"Medium: ore grade is taken from the company's data on mineral reserves","Section Phosphate reserves"
"Plant_104","Vale S.A. 2017",2016,"Medium: set to lowest among ore, PR, and recovery","Calculated from mass recovery; same data source assigned"
"Plant_105","The Mosaic Company 2023",2014,"Medium: ore grade is taken from the company's data on mineral reserves","Table 2.7: Proven Mineral Reserves"
"Plant_106","The Mosaic Company 2023",2022,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","2020-2022 average"
"Plant_107","Vale S.A. 2017",2016,"Medium: ore grade is taken from the company's data on mineral reserves","Section Phosphate reserves"
"Plant_108","Vale S.A. 2017",2016,"Medium: set to lowest among ore, PR, and recovery","Calculated from mass recovery; same data source assigned"
"Plant_109","The Mosaic Company 2023",2014,"Medium: ore grade is taken from the company's data on mineral reserves","Table 2.7: Proven Mineral Reserves"
"Plant_110","The Mosaic Company 2023",2022,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","2020-2022 average"
"Plant_111","Vale S.A. 2017",2016,"Medium: ore grade is taken from the company's data on mineral reserves","Section Phosphate reserves"
"Plant_112","Vale S.A. 2017",2016,"Medium: set to lowest among ore, PR, and recovery","Calculated from mass recovery; same data source assigned"
"Plant_113","Anglo American 2014",2013,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","Business overview: Phosphates"
"Plant_114","Anglo American 2014",2013,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","Business overview: Phosphates"
"Plant_115","Anglo American 2014",2013,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","Business overview: Phosphates; ratio of 5.8 Mt mined ore to 1.4Mt beneficited PR"
"Plant_116","Anglo American 2014",2013,"High: set to lowest among ore, PR, and recovery","Calculated from mass recovery; same data source assigned"
"Plant_117","Kahn et al. 1990",1990,"Low: data is not relevant being recorded before 2003","Tabela 4 - Distribuição dos elementos químicos nos tipos de minério em Angico dos Dias (reproduced in Luciano 2016)"
"Plant_118","Kahn et al. 1990",1990,"Low: data is not relevant being recorded before 2003",""
"Plant_119","Kahn et al. 1990",1990,"Low: set to lowest among ore, PR, and mineral recovery","Calculated from mineral recovery; same data source assigned"
"Plant_120","Kahn et al. 1990",1990,"Low: data is not relevant being recorded before 2003",""
"Plant_121","van Kauwenbergh et al. 1990",1990,"Low: data is not relevant being recorded before 2003","Assumed for southern Extension of the Central Florida Phosphate District"
"Plant_122","The Mosaic Company 2023",2022,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","2020-2022 average"
"Plant_123","The Mosaic Company 2023",2022,"Low: set to lowest among ore, PR, and mineral recovery","Calculated from mineral recovery; same data source assigned"
"Plant_124","The Mosaic Company 2023",2022,"Medium: ore grade is taken from the company's data on mineral reserves","Table 2.11: Mineral Reserves Beneficiation Plant Recovery - average"
"Plant_125","Piegols et al. 2016",2005,"Low: (1) scientific publication, (2) value is estimated from raw data with additional assumptions","Average 17-20% feed"
"Plant_126","Potash Corporation of Saskatchewan Inc. 2014; Potash Corporation of Saskatchewan Inc. 2017",2016,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance",""
"Plant_127","Piegols et al. 2016",2016,"Low: (1) scientific publication, (2) value is estimated from raw data with additional assumptions","Assumed higher than on site pilot testing result"
"Plant_128","Piegols et al. 2016",2016,"Low: set to lowest among ore, PR, and recovery","Calculated from mass recovery; same data source assigned"
"Plant_129","van Kauwenbergh et al. 1990",1990,"Low: data is not relevant being recorded before 2003","Assumed as for North Florida"
"Plant_130","Potash Corporation of Saskatchewan Inc. 2014; Potash Corporation of Saskatchewan Inc. 2017",2016,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance",""
"Plant_131","The Mosaic Company 2023",2022,"Low: set to lowest among ore, PR, and mineral recovery","Calculated from mineral recovery; same data source assigned"
"Plant_132","The Mosaic Company 2023",2022,"Low: value is taken from geographically close case of mining and beneficiation, but beneficiation process may vary ","Assumed as for southern Extension of the Central Florida Phosphate District"
"Plant_133","Sheldon 1989",1989,"Low: data is not relevant being recorded before 2003","Average grade of mineable beds"
"Plant_134","",2021,"Medium: value is taken from simular beneficiation process","Assumed same as for Vernal"
"Plant_135","Williams & Phillip 2013; Simplot Agribusiness 2014",2013,"Medium: value is estimated from more than one data source","Ratio of 2Mt concentrate produced (Simplot Agribusiness 2014) to 3Mt mined ore (Williams & Phillip 2013)"
"Plant_136","Williams & Phillip 2013; Simplot Agribusiness 2014",2013,"Low: set to lowest among ore, PR, and recovery","Calculated from mass recovery; same data source assigned"
"Plant_137","Sheldon 1989",1989,"Low: data is not relevant being recorded before 2003","Average grade of mineable beds"
"Plant_138","Utah Geological Survey 2022b",2021,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance",""
"Plant_139","Utah Geological Survey 2015, 2016, 2018a, 2018b, 2019, 2020, 2022a, 2022b",2021,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","2014-2021 average ratio of concentrate produced to ore mined"
"Plant_140","Utah Geological Survey 2015, 2016, 2018a, 2018b, 2019, 2020, 2022a, 2022b",2021,"Low: set to lowest among ore, PR, and recovery","Calculated from mass recovery; same data source assigned"
"Plant_141","Itafos 2019",2019,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance",""
"Plant_142","Itafos 2019",2019,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance",""
"Plant_143","Itafos 2019",2019,"High: set to lowest among ore, PR, and mineral recovery","Calculated from mineral recovery; same data source assigned"
"Plant_144","Itafos 2019",2019,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance",""
"Plant_145","van Kauwenbergh 2010",2010,"Medium: data is weekly relevant (2003-2012)",""
"Plant_146","PhosAgro 2024",2016,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance",""
"Plant_147","PhosAgro 2024",2022,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","2012-2022 average of phosphate rock produced to apatite-nepheline ore mined"
"Plant_148","PhosAgro 2024",2022,"Medium: set to lowest among ore, PR, and recovery","Calculated from mass recovery; same data source assigned"
"Plant_149","Karpova et al. 2005",1979,"Low: data is not relevant being recorded before 2003","6.6 in Notholt  (1979)"
"Plant_150","EuroChem 2014",2013,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","Average 37-38% product"
"Plant_151","EuroChem 2011; EuroChem 2014",2013,"Medium: value is estimated from more than one data source","Ratio of 2.7Mt apatite (EuroChem 2010) capacity to 15Mt beneficition capactity  (EuroChem 2014)"
"Plant_152","EuroChem 2011; EuroChem 2014",2013,"Low: set to lowest among ore, PR, and recovery","Calculated from mass recovery; same data source assigned"
"Plant_153","Office Cherifien des Phosphates, Casablanca 1989",1989,"Low: data is not relevant being recorded before 2003","Table 47.1 average 25.2-34.3% P2O5"
"Plant_154","OCP S.A. 2015",2015,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance",""
"Plant_155","OCP S.A. 2015; OCP S.A. 2016; OCP S.A. 2017",2016,"Medium: value is estimated from time series with high variability in the data","2014-2016 average of product to mined ore"
"Plant_156","OCP S.A. 2015; OCP S.A. 2016; OCP S.A. 2017",2016,"Low: set to lowest among ore, PR, and recovery","Calculated from mass recovery; same data source assigned"
"Plant_157","Office Cherifien des Phosphates, Casablanca 1989",1989,"Low: data is not relevant being recorded before 2003","Table 47.1 average 22.9-32.9% P2O5"
"Plant_158","OCP S.A. 2015",2015,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance",""
"Plant_159","OCP S.A. 2016; OCP S.A. 2017",2016,"Medium: value is estimated from time series with high variability in the data","2015-2016 average of product to mined ore"
"Plant_160","OCP S.A. 2016; OCP S.A. 2017",2016,"Low: set to lowest among ore, PR, and recovery","Calculated from mass recovery; same data source assigned"
"Plant_161","Office Cherifien des Phosphates, Casablanca 1989",1989,"Low: data is not relevant being recorded before 2003","Table 47.1 20.6-29.8% P2O5; assumed same as for Gantour to match P2O5 recovery <= 1"
"Plant_162","OCP S.A. 2015",2015,"Low: value is taken from geographically close case of mining and beneficiation, but beneficiation process may vary ","Assumed same as for Khouribga and Gantour"
"Plant_163","OCP S.A. 2016; OCP S.A. 2017",2016,"Low: value is taken from geographically close case of mining and beneficiation, but beneficiation process may vary ","Assumed same as for Gantour"
"Plant_164","OCP S.A. 2016; OCP S.A. 2017",2016,"Low: set to lowest among ore, PR, and recovery","Calculated from mass recovery; same data source assigned"
"Plant_165","Munoz Cabezon 1989",1989,"Low: data is not relevant being recorded before 2003","Table 28.1 Maximum ore to match recovery P2O5 <= 1; 31.1-33.9% (Table 47.1, Office Cherifien des Phosphates, Casablanca 1989)"
"Plant_166","OCP S.A. 2024",2024,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance",""
"Plant_167","OCP S.A. 2016; OCP S.A. 2017",2016,"Medium: value is estimated from time series with high variability in the data","2015-2016 average of product to mined ore"
"Plant_168","OCP S.A. 2016; OCP S.A. 2017",2016,"Low: set to lowest among ore, PR, and recovery","Calculated from mass recovery; same data source assigned"
"Plant_169","Van et al. 2022",2019,"Low: (1) scientific publication, (2) value is estimated from raw data with additional assumptions","Vietnam flotation plants designed to process ores type III (9-25% P2O5) with  quartz (Van et al. 2022); secondary ores 3 grade in An & Khoa (1986)"
"Plant_170","Van et al. 2022",2019,"Low: (1) scientific publication, (2) value is estimated from raw data with additional assumptions","Weathered apatite ores type III containing quartz as the main gangue minerals"
"Plant_171","Van et al. 2022",2019,"Low: set to lowest among ore, PR, and mineral recovery","Calculated from mineral recovery; same data source assigned"
"Plant_172","Van et al. 2022",2019,"Low: (1) scientific publication, (2) value is estimated from raw data with additional assumptions",""
"Plant_173","General Company for Phosphate and Mines 2024",2024,"Medium: value is estimated from raw data with additional assumptions","Weighted average for Eastern A mine 28.5-29.00 % 1.1Mt capacity and Eastern B mine 29.5% 0.7Mt capacity"
"Plant_174","General Company for Phosphate and Mines 2024",2024,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","Average 30.50 -31.50% for PR"
"Plant_175","van Kauwenbergh 2010",2010,"Medium: data is weekly relevant (2003-2012)","Equivalent to 1.8"
"Plant_176","van Kauwenbergh 2010",2010,"Medium: set to lowest among ore, PR, and recovery","Calculated from mass recovery; same data source assigned"
"Plant_177","General Company for Phosphate and Mines 2024",2024,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","Average 30.50 -31.00% for ROM"
"Plant_178","General Company for Phosphate and Mines 2024",2024,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","Average 30.50 -31.00% for ROM, without beneficiation"
"Plant_179","General Company for Phosphate and Mines 2024",2024,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","Direct shipment without beneficiation"
"Plant_180","General Company for Phosphate and Mines 2024",2024,"High: set to lowest among ore, PR, and recovery","Calculated from mass recovery; same data source assigned"
"Plant_181","Sunkar Resources 2015",2015,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance",""
"Plant_182","Sunkar Resources 2015",2015,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance",""
"Plant_183","Sunkar Resources 2015",2015,"High: data is relevant for 2013-2022; company's data is used; either raw data or estimate from time series with low variance","Ratio of 5.2Mt phophate concentrate to 10Mt ore"
"Plant_184","Sunkar Resources 2015",2015,"High: set to lowest among ore, PR, and recovery","Calculated from mass recovery; same data source assigned"
"Plant_185","Kazphosphate LLC 2006",2006,"Low: (1) data is weekly relevant (2003-2012), (2) value is taken from simular beneficiation process","Table 20 Benefication for Karatau carbonate phosphorites (Kok-Jon, Gimmelfarbskoe, Geres deposits)"
